,position,handle,rating,rank_from,index_from,rank_to,index_to
0,9,Um_nik,3392,Legendary Grandmaster,0,Specialist,7
1,11,Kevin114514,3377,Legendary Grandmaster,0,Specialist,7
2,13,heuristica,3373,Legendary Grandmaster,0,International Master,3
3,14,LJC00118,3330,Legendary Grandmaster,0,Specialist,7
4,16,turmax,3276,Legendary Grandmaster,0,Candidate Master,5
5,18,dXqwq,3235,Legendary Grandmaster,0,Specialist,7
6,21,Ormlis,3175,Legendary Grandmaster,0,Specialist,7
7,22,le0n,3172,Legendary Grandmaster,0,Specialist,7
8,23,arvindf232,3168,Legendary Grandmaster,0,Candidate Master,5
9,24,Szoboszlai10,3163,Legendary Grandmaster,0,Specialist,7
10,25,jiangbowen,3153,Legendary Grandmaster,0,Specialist,7
11,27,QAQAutoMaton,3143,Legendary Grandmaster,0,Specialist,7
12,30,xuanxuan001,3132,Legendary Grandmaster,0,Specialist,7
13,34,244mhq,3108,Legendary Grandmaster,0,Candidate Master,5
14,37,Kapt,3089,Legendary Grandmaster,0,Candidate Master,5
15,39,275307894a,3083,Legendary Grandmaster,0,Expert,6
16,41,hank55663,3073,Legendary Grandmaster,0,Newbie,9
17,43,skip2004,3052,Legendary Grandmaster,0,International Grandmaster,1
18,44,StarSilk,3048,Legendary Grandmaster,0,Expert,6
19,45,strapple,3046,Legendary Grandmaster,0,Specialist,7
20,46,liuhengxi,3045,Legendary Grandmaster,0,Candidate Master,5
21,48,BurnedChicken,3036,Legendary Grandmaster,0,Newbie,9
22,51,Endagorion,3035,Legendary Grandmaster,0,Candidate Master,5
23,52,qiuzx,3033,Legendary Grandmaster,0,Specialist,7
24,54,SSerxhs,3027,Legendary Grandmaster,0,Specialist,7
25,55,peti1234,3025,Legendary Grandmaster,0,Specialist,7
26,56,conqueror_of_tourist,3021,Legendary Grandmaster,0,International Master,3
27,57,femboy-wannabe,3016,Legendary Grandmaster,0,Master,4
28,59,hyman00,2997,International Grandmaster,1,Newbie,9
29,59,JoesSR,2997,International Grandmaster,1,International Master,3
30,61,cxm1024,2982,International Grandmaster,1,Specialist,7
31,63,antontrygubO_o,2967,International Grandmaster,1,Specialist,7
32,66,cmk666,2956,International Grandmaster,1,Specialist,7
33,67,GroupMatrix,2948,International Grandmaster,1,International Master,3
34,68,_lbw_,2947,International Grandmaster,1,Specialist,7
35,69,grass8sheep,2945,International Grandmaster,1,Specialist,7
36,74,PEIMUDA,2929,International Grandmaster,1,Legendary Grandmaster,0
37,79,QwertyPi,2921,International Grandmaster,1,Master,4
38,80,Flamire,2919,International Grandmaster,1,Expert,6
39,83,Sugar_fan,2912,International Grandmaster,1,Expert,6
40,85,neal,2902,International Grandmaster,1,International Master,3
41,88,jeroenodb,2894,International Grandmaster,1,Specialist,7
42,89,Fido_Puppy,2890,International Grandmaster,1,Legendary Grandmaster,0
43,94,HIR180,2874,International Grandmaster,1,Pupil,8
